Amostra,Codigo_Digital,Tensao_V
3302,0x7FFF,-0.0003
3303,0x7FFE,-0.0006
3304,0x7FFF,-0.0003
3305,0x7FFF,-0.0003
3306,0x7FFF,-0.0003
3307,0x7FFE,-0.0006
3308,0x7FFE,-0.0006
3309,0x7FFF,-0.0003
3310,0x7FFE,-0.0006
3311,0x7FFF,-0.0003
3312,0x7FFF,-0.0003
3313,0x7FFF,-0.0003
3314,0x7FFF,-0.0003
3315,0x8000,0.0000
3316,0x7FFE,-0.0006
3317,0x7FFF,-0.0003
3318,0x7FFF,-0.0003
3319,0x7FFF,-0.0003
3320,0x7FFF,-0.0003
3321,0x7FFF,-0.0003
3322,0x7FFF,-0.0003
3323,0x7FFF,-0.0003
3324,0x7FFF,-0.0003
3325,0x7FFF,-0.0003
3326,0x7FFF,-0.0003
3327,0x7FFE,-0.0006
3328,0x7FFF,-0.0003
3329,0x7FFF,-0.0003
3330,0x7FFF,-0.0003
3331,0x8000,0.0000
3332,0x7FFF,-0.0003
3333,0x7FFF,-0.0003
3334,0x8000,0.0000
3335,0x7FFE,-0.0006
3336,0x7FFE,-0.0006
3337,0x7FFF,-0.0003
3338,0x7FFF,-0.0003
3339,0x8000,0.0000
3340,0x8000,0.0000
3341,0x7FFE,-0.0006
3342,0x7FFF,-0.0003
3343,0x7FFF,-0.0003
3344,0x8000,0.0000
3345,0x7FFF,-0.0003
3346,0x7FFE,-0.0006
3347,0x7FFF,-0.0003
3348,0x8000,0.0000
3349,0x7FFF,-0.0003
3350,0x7FFF,-0.0003
3351,0x7FFF,-0.0003
3352,0x7FFF,-0.0003
3353,0x7FFE,-0.0006
3354,0x7FFF,-0.0003
3355,0x7FFF,-0.0003
3356,0x7FFF,-0.0003
3357,0x7FFF,-0.0003
3358,0x7FFF,-0.0003
3359,0x7FFF,-0.0003
3360,0x7FFF,-0.0003
3361,0x7FFF,-0.0003
3362,0x7FFE,-0.0006
3363,0x7FFF,-0.0003
3364,0x7FFE,-0.0006
3365,0x8000,0.0000
3366,0x7FFF,-0.0003
3367,0x7FFF,-0.0003
3368,0x7FFE,-0.0006
3369,0x7FFF,-0.0003
3370,0x7FFF,-0.0003
3371,0x8000,0.0000
3372,0x7FFF,-0.0003
3373,0x7FFF,-0.0003
3374,0x7FFF,-0.0003
3375,0x8000,0.0000
3376,0x7FFF,-0.0003
3377,0x8000,0.0000
3378,0x8000,0.0000
3379,0x7FFF,-0.0003
3380,0x7FFE,-0.0006
3381,0x8000,0.0000
3382,0x7FFF,-0.0003
3383,0x7FFF,-0.0003
3384,0x8000,0.0000
3385,0x7FFF,-0.0003
3386,0x7FFF,-0.0003
3387,0x8000,0.0000
3388,0x8000,0.0000
3389,0x7FFF,-0.0003
3390,0x7FFF,-0.0003
3391,0x8000,0.0000
3392,0x8000,0.0000
3393,0x7FFF,-0.0003
3394,0x7FFF,-0.0003
3395,0x7FFE,-0.0006
3396,0x7FFF,-0.0003
3397,0x8000,0.0000
3398,0x7FFF,-0.0003
3399,0x7FFF,-0.0003
3400,0x7FFF,-0.0003
3401,0x7FFE,-0.0006
3402,0x7FFF,-0.0003
3403,0x8000,0.0000
3404,0x7FFF,-0.0003
3405,0x8000,0.0000
3406,0x7FFF,-0.0003
3407,0x8000,0.0000
3408,0x7FFF,-0.0003
3409,0x8000,0.0000
3410,0x7FFF,-0.0003
3411,0x7FFF,-0.0003
3412,0x7FFF,-0.0003
3413,0x8000,0.0000
3414,0x7FFF,-0.0003
3415,0x7FFF,-0.0003
3416,0x7FFF,-0.0003
3417,0x8000,0.0000
3418,0x7FFF,-0.0003
3419,0x7FFF,-0.0003
3420,0x8000,0.0000
3421,0x8000,0.0000
3422,0x7FFF,-0.0003
3423,0x7FFF,-0.0003
3424,0x8000,0.0000
3425,0x7FFF,-0.0003
3426,0x7FFF,-0.0003
3427,0x7FFF,-0.0003
3428,0x7FFF,-0.0003
3429,0x8000,0.0000
3430,0x8000,0.0000
3431,0x8000,0.0000
3432,0x7FFF,-0.0003
3433,0x7FFE,-0.0006
3434,0x7FFF,-0.0003
3435,0x7FFF,-0.0003
3436,0x8000,0.0000
3437,0x7FFF,-0.0003
3438,0x7FFF,-0.0003
3439,0x7FFF,-0.0003
3440,0x7FFF,-0.0003
3441,0x7FFF,-0.0003
3442,0x8000,0.0000
3443,0x8000,0.0000
3444,0x7FFF,-0.0003
3445,0x7FFF,-0.0003
3446,0x8000,0.0000
3447,0x7FFF,-0.0003
3448,0x7FFF,-0.0003
3449,0x7FFF,-0.0003
3450,0x7FFF,-0.0003
3451,0x7FFE,-0.0006
3452,0x7FFF,-0.0003
3453,0x7FFF,-0.0003
3454,0x8000,0.0000
3455,0x7FFF,-0.0003
3456,0x7FFF,-0.0003
3457,0x7FFE,-0.0006
3458,0x7FFF,-0.0003
3459,0x7FFE,-0.0006
3460,0x7FFF,-0.0003
3461,0x7FFF,-0.0003
3462,0x7FFE,-0.0006
3463,0x7FFF,-0.0003
3464,0x7FFF,-0.0003
3465,0x8000,0.0000
3466,0x7FFE,-0.0006
3467,0x7FFF,-0.0003
3468,0x7FFF,-0.0003
3469,0x7FFF,-0.0003
3470,0x7FFE,-0.0006
3471,0x7FFF,-0.0003
3472,0x7FFF,-0.0003
3473,0x7FFE,-0.0006
3474,0x7FFF,-0.0003
3475,0x7FFF,-0.0003
3476,0x7FFF,-0.0003
3477,0x7FFF,-0.0003
3478,0x7FFF,-0.0003
3479,0x7FFF,-0.0003
3480,0x7FFE,-0.0006
3481,0x8000,0.0000
3482,0x7FFF,-0.0003
3483,0x7FFF,-0.0003
3484,0x7FFF,-0.0003
3485,0x7FFF,-0.0003
3486,0x7FFF,-0.0003
3487,0x7FFF,-0.0003
3488,0x7FFE,-0.0006
3489,0x7FFF,-0.0003
3490,0x7FFF,-0.0003
3491,0x7FFF,-0.0003
3492,0x8000,0.0000
3493,0x7FFE,-0.0006
3494,0x7FFF,-0.0003
3495,0x7FFF,-0.0003
3496,0x7FFF,-0.0003
3497,0x7FFF,-0.0003
3498,0x7FFF,-0.0003
3499,0x7FFF,-0.0003
3500,0x8000,0.0000
3501,0x7FFF,-0.0003
3502,0x8000,0.0000
3503,0x7FFF,-0.0003
3504,0x7FFF,-0.0003
3505,0x7FFF,-0.0003
3506,0x7FFF,-0.0003
3507,0x8000,0.0000
3508,0x7FFF,-0.0003
3509,0x7FFE,-0.0006
3510,0x7FFF,-0.0003
3511,0x7FFF,-0.0003
3512,0x7FFF,-0.0003
3513,0x8000,0.0000
3514,0x7FFF,-0.0003
3515,0x7FFF,-0.0003
3516,0x7FFF,-0.0003
3517,0x7FFF,-0.0003
3518,0x7FFF,-0.0003
3519,0x8000,0.0000
3520,0x7FFF,-0.0003
3521,0x7FFF,-0.0003
3522,0x7FFF,-0.0003
3523,0x7FFF,-0.0003
3524,0x7FFF,-0.0003
3525,0x7FFF,-0.0003
3526,0x7FFF,-0.0003
3527,0x7FFF,-0.0003
3528,0x7FFF,-0.0003
3529,0x7FFF,-0.0003
3530,0x8000,0.0000
3531,0x7FFE,-0.0006
3532,0x7FFF,-0.0003
3533,0x7FFF,-0.0003
3534,0x7FFF,-0.0003
3535,0x7FFF,-0.0003
3536,0x7FFF,-0.0003
3537,0x7FFF,-0.0003
3538,0x7FFF,-0.0003
3539,0x8000,0.0000
3540,0x7FFF,-0.0003
3541,0x7FFF,-0.0003
3542,0x7FFF,-0.0003
3543,0x7FFF,-0.0003
3544,0x7FFE,-0.0006
3545,0x8000,0.0000
3546,0x7FFE,-0.0006
3547,0x7FFF,-0.0003
3548,0x7FFF,-0.0003
3549,0x8000,0.0000
3550,0x7FFF,-0.0003
3551,0x7FFF,-0.0003
3552,0x7FFF,-0.0003
3553,0x7FFF,-0.0003
3554,0x8000,0.0000
3555,0x7FFF,-0.0003
3556,0x7FFF,-0.0003
3557,0x7FFF,-0.0003
3558,0x7FFF,-0.0003
3559,0x7FFE,-0.0006
3560,0x7FFE,-0.0006
3561,0x7FFF,-0.0003
3562,0x7FFF,-0.0003
3563,0x8000,0.0000
3564,0x7FFF,-0.0003
3565,0x8000,0.0000
3566,0x7FFF,-0.0003
3567,0x7FFF,-0.0003
3568,0x7FFF,-0.0003
3569,0x7FFF,-0.0003
3570,0x7FFF,-0.0003
3571,0x7FFF,-0.0003
3572,0x7FFE,-0.0006
3573,0x7FFF,-0.0003
