Amostra,Codigo_Digital,Tensao_V
704,0x8001,0.0003
705,0x7FFE,-0.0006
706,0x7FFF,-0.0003
707,0x8000,0.0000
708,0x7FFF,-0.0003
709,0x7FFF,-0.0003
710,0x8000,0.0000
711,0x7FFF,-0.0003
712,0x7FFF,-0.0003
713,0x7FFE,-0.0006
714,0x7FFF,-0.0003
715,0x7FFF,-0.0003
716,0x7FFE,-0.0006
717,0x7FFF,-0.0003
718,0x7FFF,-0.0003
719,0x7FFF,-0.0003
720,0x7FFF,-0.0003
721,0x7FFF,-0.0003
722,0x7FFF,-0.0003
723,0x8000,0.0000
724,0x8000,0.0000
725,0x7FFF,-0.0003
726,0x7FFF,-0.0003
727,0x7FFF,-0.0003
728,0x7FFF,-0.0003
729,0x8000,0.0000
730,0x7FFF,-0.0003
731,0x7FFF,-0.0003
732,0x7FFF,-0.0003
733,0x7FFF,-0.0003
734,0x7FFF,-0.0003
735,0x8000,0.0000
736,0x7FFF,-0.0003
737,0x7FFF,-0.0003
738,0x7FFF,-0.0003
739,0x7FFE,-0.0006
740,0x8000,0.0000
741,0x8000,0.0000
742,0x7FFF,-0.0003
743,0x7FFF,-0.0003
744,0x7FFF,-0.0003
745,0x8000,0.0000
746,0x7FFF,-0.0003
747,0x7FFE,-0.0006
748,0x7FFF,-0.0003
749,0x7FFF,-0.0003
750,0x8000,0.0000
751,0x7FFE,-0.0006
752,0x7FFF,-0.0003
753,0x7FFF,-0.0003
754,0x7FFF,-0.0003
755,0x8000,0.0000
756,0x7FFF,-0.0003
757,0x7FFE,-0.0006
758,0x7FFF,-0.0003
759,0x7FFF,-0.0003
760,0x7FFF,-0.0003
761,0x7FFE,-0.0006
762,0x8000,0.0000
763,0x7FFF,-0.0003
764,0x7FFF,-0.0003
765,0x8000,0.0000
766,0x7FFE,-0.0006
767,0x8000,0.0000
768,0x7FFF,-0.0003
769,0x8000,0.0000
770,0x7FFF,-0.0003
771,0x7FFF,-0.0003
772,0x7FFF,-0.0003
773,0x7FFE,-0.0006
774,0x7FFF,-0.0003
775,0x7FFE,-0.0006
776,0x7FFE,-0.0006
777,0x7FFF,-0.0003
778,0x7FFE,-0.0006
779,0x7FFF,-0.0003
780,0x7FFF,-0.0003
781,0x8000,0.0000
782,0x7FFF,-0.0003
783,0x7FFF,-0.0003
784,0x7FFF,-0.0003
785,0x7FFF,-0.0003
786,0x8000,0.0000
787,0x7FFF,-0.0003
788,0x7FFF,-0.0003
789,0x7FFF,-0.0003
790,0x7FFF,-0.0003
791,0x7FFE,-0.0006
792,0x7FFF,-0.0003
793,0x8000,0.0000
794,0x7FFF,-0.0003
795,0x7FFF,-0.0003
796,0x7FFF,-0.0003
797,0x7FFF,-0.0003
798,0x8000,0.0000
799,0x7FFF,-0.0003
800,0x8000,0.0000
801,0x7FFF,-0.0003
802,0x7FFF,-0.0003
803,0x7FFF,-0.0003
804,0x7FFE,-0.0006
805,0x7FFE,-0.0006
806,0x7FFF,-0.0003
807,0x7FFF,-0.0003
808,0x7FFF,-0.0003
809,0x7FFF,-0.0003
810,0x7FFF,-0.0003
811,0x8000,0.0000
812,0x7FFF,-0.0003
813,0x7FFF,-0.0003
814,0x7FFF,-0.0003
815,0x7FFF,-0.0003
816,0x7FFF,-0.0003
817,0x7FFF,-0.0003
818,0x7FFF,-0.0003
819,0x7FFF,-0.0003
820,0x7FFF,-0.0003
821,0x7FFF,-0.0003
822,0x7FFF,-0.0003
823,0x7FFF,-0.0003
824,0x7FFF,-0.0003
825,0x7FFE,-0.0006
826,0x7FFF,-0.0003
827,0x7FFF,-0.0003
828,0x7FFF,-0.0003
829,0x7FFF,-0.0003
830,0x8000,0.0000
831,0x7FFF,-0.0003
832,0x8000,0.0000
833,0x7FFF,-0.0003
834,0x7FFF,-0.0003
835,0x7FFF,-0.0003
836,0x7FFF,-0.0003
837,0x7FFE,-0.0006
838,0x7FFF,-0.0003
839,0x7FFF,-0.0003
840,0x7FFF,-0.0003
841,0x7FFF,-0.0003
842,0x7FFF,-0.0003
843,0x8000,0.0000
844,0x7FFF,-0.0003
845,0x8000,0.0000
846,0x7FFF,-0.0003
847,0x8000,0.0000
848,0x7FFF,-0.0003
849,0x7FFF,-0.0003
850,0x7FFF,-0.0003
851,0x7FFF,-0.0003
852,0x7FFF,-0.0003
853,0x7FFF,-0.0003
854,0x8000,0.0000
855,0x7FFF,-0.0003
856,0x8000,0.0000
857,0x7FFF,-0.0003
858,0x8000,0.0000
859,0x7FFF,-0.0003
860,0x8000,0.0000
861,0x7FFF,-0.0003
862,0x7FFE,-0.0006
863,0x7FFF,-0.0003
864,0x8000,0.0000
865,0x7FFE,-0.0006
866,0x7FFF,-0.0003
867,0x7FFF,-0.0003
868,0x7FFE,-0.0006
869,0x7FFE,-0.0006
870,0x7FFF,-0.0003
871,0x7FFF,-0.0003
872,0x7FFF,-0.0003
873,0x8000,0.0000
874,0x7FFF,-0.0003
875,0x8000,0.0000
876,0x8000,0.0000
