Amostra,Codigo_Digital,Tensao_ADC_V,Tensao_Real_V
509,0x0831,-9.5868,-184.7602
510,0x0CED,-9.2062,-177.4253
511,0x221A,-7.5107,-144.7479
512,0x441D,-4.7888,-92.2907
513,0x7049,-1.2548,-24.1825
514,0x9BD6,2.2288,42.9548
515,0xC5EA,5.5940,107.8085
516,0xE5E0,8.1492,157.0540
517,0xF632,9.4529,182.1799
518,0xF754,9.5417,183.8897
519,0xE442,8.0144,154.4565
520,0xCA38,5.9301,114.2870
521,0x9EB0,2.4471,47.1619
522,0x70E7,-1.2154,-23.4242
523,0x4943,-4.3858,-84.5245
524,0x22E0,-7.4553,-143.6798
525,0x0CB9,-9.2256,-177.7983
526,0x07E8,-9.6090,-185.1871
527,0x1401,-8.6394,-166.5019
528,0x2A50,-6.8534,-132.0804
529,0x5267,-3.6455,-70.2565
530,0x8067,0.0345,0.6653
531,0xA8D1,3.2670,62.9624
532,0xD29E,6.6097,127.3847
533,0xED4E,8.7430,168.4973
534,0xF7D7,9.5839,184.7033
535,0xF39B,9.2433,178.1392
536,0xDDF8,7.5108,144.7511
537,0xBC07,4.7946,92.4023
538,0x8FAE,1.2465,24.0231
539,0x641F,-2.2377,-43.1262
540,0x3A16,-5.5994,-107.9137
541,0x1AAC,-8.1109,-156.3161
542,0x0A08,-9.4403,-181.9359
543,0x08EF,-9.5262,-183.5916
544,0x1B27,-8.0671,-155.4711
545,0x35CD,-5.9340,-114.3621
546,0x6194,-2.4313,-46.8576
547,0x8F3A,1.2203,23.5177
548,0xB71E,4.4107,85.0034
549,0xDD16,7.4467,143.5142
550,0xF396,9.2448,178.1687
551,0xF81E,9.6054,185.1179
552,0xEC6B,8.6677,167.0468
553,0xD589,6.8357,131.7401
554,0xAD52,3.6178,69.7236
555,0x7F71,-0.0525,-1.0115
556,0x575B,-3.2587,-62.8027
557,0x2D6B,-6.6124,-127.4358
558,0x1283,-8.7631,-168.8856
559,0x082B,-9.5887,-184.7964
560,0x0C15,-9.2737,-178.7260
561,0x2169,-7.5660,-145.8135
562,0x43E2,-4.8072,-92.6456
563,0x7056,-1.2507,-24.1038
564,0x9C00,2.2420,43.2081
565,0xC5EC,5.5946,107.8210
566,0xE575,8.1158,156.4100
567,0xF64D,9.4614,182.3430
568,0xF74B,9.5389,183.8359
569,0xE529,8.0866,155.8479
570,0xCA54,5.9389,114.4558
571,0x9E99,2.4400,47.0235
572,0x70CB,-1.2242,-23.5926
573,0x492D,-4.3927,-84.6568
574,0x2300,-7.4452,-143.4868
575,0x0CB6,-9.2265,-177.8162
576,0x0816,-9.5946,-184.9099
577,0x13C2,-8.6591,-166.8811
578,0x2A7F,-6.8387,-131.7972
579,0x52C5,-3.6161,-69.6904
580,0x808D,0.0464,0.8942
581,0xA911,3.2870,63.3478
582,0xD285,6.6019,127.2341
583,0xED75,8.7552,168.7321
584,0xF779,9.5545,184.1372
585,0xF36E,9.2292,177.8683
586,0xDE04,7.5146,144.8234
587,0xBBC7,4.7746,92.0170
588,0x8F99,1.2400,23.8968
589,0x6407,-2.2452,-43.2705
590,0x3A1A,-5.5982,-107.8894
591,0x1A75,-8.1281,-156.6471
592,0x09B3,-9.4668,-182.4475
593,0x091D,-9.5118,-183.3142
594,0x1BB6,-8.0224,-154.6097
595,0x3590,-5.9531,-114.7293
596,0x6138,-2.4601,-47.4113
597,0x8F41,1.2225,23.5602
598,0xB70E,4.4057,84.9074
599,0xDD04,7.4411,143.4062
600,0xF36E,9.2323,177.9282
601,0xF823,9.6070,185.1484
602,0xED01,8.7146,167.9504
603,0xD61C,6.8817,132.6255
604,0xAD68,3.6247,69.8561
605,0x7F6B,-0.0544,-1.0476
606,0x5747,-3.2650,-62.9231
607,0x2D57,-6.6186,-127.5561
608,0x11F2,-8.8084,-169.7586
609,0x07FD,-9.6031,-185.0732
610,0x0DD4,-9.1341,-176.0342
611,0x21F4,-7.5226,-144.9768
612,0x4415,-4.7913,-92.3390
613,0x709C,-1.2288,-23.6827
614,0x9C11,2.2473,43.3099
615,0xC60E,5.6052,108.0251
616,0xE595,8.1258,156.6021
617,0xF686,9.4792,182.6855
618,0xF72E,9.5298,183.6606
619,0xE526,8.0857,155.8291
620,0xCA2C,5.9263,114.2143
621,0x9E52,2.4177,46.5954
622,0x70C5,-1.2261,-23.6293
623,0x490B,-4.4033,-84.8621
624,0x22F5,-7.4487,-143.5536
625,0x0C09,-9.2806,-178.8584
626,0x07F3,-9.6056,-185.1209
627,0x13E2,-8.6491,-166.6886
628,0x2A48,-6.8559,-132.1286
629,0x529C,-3.6289,-69.9374
630,0x8081,0.0426,0.8218
631,0xA8F0,3.2767,63.1490
632,0xD29F,6.6100,127.3906
633,0xEE90,8.8436,170.4361
634,0xF7D9,9.5845,184.7148
635,0xF32D,9.2089,177.4763
636,0xDE05,7.5149,144.8290
637,0xBC0A,4.7955,92.4200
638,0x8FB8,1.2496,24.0828
639,0x63ED,-2.2534,-43.4277
640,0x3A09,-5.6035,-107.9924
641,0x1AA0,-8.1147,-156.3887
642,0x0A0E,-9.4384,-181.9002
643,0x093B,-9.5025,-183.1343
644,0x1B91,-8.0340,-154.8333
645,0x35C7,-5.9359,-114.3988
646,0x6184,-2.4364,-46.9545
647,0x8F43,1.2231,23.5713
648,0xB724,4.4125,85.0389
649,0xDD04,7.4410,143.4053
650,0xF421,9.2882,179.0051
651,0xF803,9.5969,184.9546
652,0xEC94,8.6805,167.2930
653,0xD580,6.8329,131.6852
654,0xAD2C,3.6059,69.4941
655,0x7F49,-0.0650,-1.2530
656,0x5754,-3.2609,-62.8455
657,0x2D7F,-6.6062,-127.3160
658,0x1283,-8.7632,-168.8862
659,0x0829,-9.5894,-184.8091
660,0x0D08,-9.1978,-177.2635
661,0x22B4,-7.4626,-143.8214
662,0x440B,-4.7945,-92.4001
663,0x7081,-1.2373,-23.8462
664,0x9C10,2.2469,43.3030
665,0xC611,5.6061,108.0423
666,0xE579,8.1170,156.4326
667,0xF687,9.4795,182.6907
668,0xF77F,9.5550,184.1475
669,0xE506,8.0756,155.6355
670,0xCA69,5.9454,114.5807
671,0x9E8D,2.4361,46.9497
672,0x709E,-1.2383,-23.8652
673,0x491F,-4.3971,-84.7426
674,0x22C2,-7.4647,-143.8617
675,0x0CA5,-9.2319,-177.9200
676,0x0822,-9.5909,-184.8391
677,0x13FB,-8.6414,-166.5393
678,0x2A51,-6.8531,-132.0757
679,0x52CB,-3.6143,-69.6557
680,0x80C0,0.0623,1.1998
681,0xA8FD,3.2807,63.2259
682,0xD34F,6.6650,128.4489
683,0xED9E,8.7679,168.9772
684,0xF7B1,9.5719,184.4726
685,0xF312,9.2004,177.3124
686,0xDDAD,7.4873,144.2978
687,0xBB93,4.7582,91.7023
688,0x8F56,1.2189,23.4918
689,0x6404,-2.2462,-43.2901
690,0x39F8,-5.6089,-108.0956
691,0x1A7C,-8.1260,-156.6064
692,0x09A0,-9.4728,-182.5634
693,0x094B,-9.4975,-183.0387
694,0x1B9E,-8.0300,-154.7557
695,0x3607,-5.9160,-114.0142
696,0x6185,-2.4361,-46.9493
697,0x8F4F,1.2268,23.6428
698,0xB709,4.4040,84.8755
699,0xDD96,7.4866,144.2836
700,0xF30B,9.2013,177.3302
701,0xF862,9.6266,185.5260
702,0xECE0,8.7042,167.7499
703,0xD5E5,6.8644,132.2925
704,0xAD54,3.6184,69.7340
705,0x7F4F,-0.0632,-1.2179
706,0x574C,-3.2635,-62.8947
707,0x2D41,-6.6256,-127.6903
708,0x11F3,-8.8082,-169.7542
709,0x080B,-9.5988,-184.9905
710,0x0D93,-9.1545,-176.4272
711,0x21EA,-7.5258,-145.0386
712,0x442C,-4.7842,-92.2021
713,0x7090,-1.2327,-23.7566
714,0x9C0B,2.2453,43.2722
715,0xC611,5.6061,108.0416
716,0xE594,8.1254,156.5945
717,0xF670,9.4722,182.5515
718,0xF70A,9.5184,183.4422
719,0xE4E2,8.0643,155.4182
720,0xCA1E,5.9219,114.1286
721,0x9E56,2.4189,46.6181
722,0x70B3,-1.2318,-23.7391
723,0x4931,-4.3915,-84.6347
724,0x22D5,-7.4588,-143.7477
725,0x0CEC,-9.2097,-177.4929
726,0x07E0,-9.6116,-185.2370
727,0x1411,-8.6345,-166.4073
728,0x2A78,-6.8410,-131.8413
729,0x52D7,-3.6106,-69.5840
730,0x80A7,0.0544,1.0488
