Amostra,Codigo_Digital,Tensao_ADC_V,Tensao_Real_V
612,0xE3BD,7.9791,399.6785
613,0xC827,5.7722,289.1341
614,0x9C78,2.2775,114.0820
615,0x6F0E,-1.3556,-67.9045
616,0x46F8,-4.5625,-228.5398
617,0x2233,-7.5041,-375.8853
618,0x0D1F,-9.1903,-460.3511
619,0x0800,-9.6000,-480.8727
620,0x14F0,-8.5650,-429.0286
621,0x2C29,-6.7072,-335.9691
622,0x54BE,-3.4606,-173.3459
623,0x825E,0.1894,9.4860
624,0xAAA4,3.4113,170.8726
625,0xD424,6.7312,337.1744
626,0xEE15,8.8066,441.1287
627,0xF79A,9.5681,479.2761
628,0xF23E,9.1394,457.7996
629,0xDD37,7.4572,373.5373
630,0xBA05,4.6416,232.5001
631,0x8DAC,1.0938,54.7869
632,0x626D,-2.3659,-118.5120
633,0x3849,-5.7372,-287.3809
634,0x19DC,-8.1713,-409.3054
635,0x099B,-9.4716,-474.4392
636,0x0942,-9.4994,-475.8323
637,0x1C46,-7.9781,-399.6315
638,0x378A,-5.7969,-290.3707
639,0x6308,-2.3175,-116.0857
640,0x90BC,1.3388,67.0592
641,0xB8D3,4.5459,227.7101
642,0xDDA5,7.4916,375.2592
643,0xF3AA,9.2531,463.4975
644,0xF820,9.6100,481.3736
645,0xEB5C,8.5887,430.2183
646,0xD467,6.7522,338.2232
647,0xAB8F,3.4847,174.5512
648,0x7E07,-0.1578,-7.9050
649,0x55B9,-3.3822,-169.4169
650,0x2C29,-6.7072,-335.9691
651,0x1257,-8.7728,-439.4382
652,0x087A,-9.5619,-478.9630
653,0x0DED,-9.1259,-457.1265
654,0x23A5,-7.3884,-370.0935
655,0x4620,-4.6300,-231.9209
656,0x722C,-1.1063,-55.4131
657,0x9D73,2.3559,118.0110
658,0xC78E,5.7244,286.7391
659,0xE5DC,8.1488,408.1783
660,0xF63F,9.4597,473.8443
661,0xF639,9.4578,473.7504
662,0xE3EC,7.9938,400.4142
663,0xC8A0,5.8100,291.0282
664,0x9D38,2.3375,117.0875
665,0x6FA1,-1.3097,-65.6034
666,0x478E,-4.5156,-226.1918
667,0x2298,-7.4725,-374.3043
668,0x0C5D,-9.2509,-463.3879
669,0x0801,-9.5997,-480.8571
670,0x14CE,-8.5756,-429.5609
671,0x2B86,-6.7581,-338.5206
672,0x5410,-3.5150,-176.0695
673,0x81CC,0.1437,7.2006
674,0xAA35,3.3766,169.1351
675,0xD3BE,6.6994,335.5778
